sample_id,file_id,split_index,split_total,source_file,source_path,task_id,word_count,char_count,text,text_preview,ai_status,lipa_gi_compliant,label
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 91% agreement.
Decision: Approved for inclusion in GI preparation roadmap.

Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-004
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 24 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 92% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-005
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 25 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 93% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-006
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 26 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 94% agreement.

Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-007
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 27 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 95% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-008
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 28 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 96% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-009
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 29 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.

Consensus Level: 97% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-010
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 30 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 98% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-011
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 31 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 99% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-012
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 32 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 88% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-013
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 33 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 89% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-014
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 34 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 90% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-015
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 35 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 91% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-016
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 36 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 92% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-017
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 37 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 93% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-018
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 38 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 94% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-019
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 39 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 95% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-020
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 40 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 96% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-021
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 41 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 97% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-022
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 42 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 98% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-023
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 43 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 99% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-024
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 44 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 88% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-025
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 45 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 89% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-026
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 46 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 90% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-027
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 47 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 91% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-028
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 48 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 92% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-029
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 49 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 93% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-030
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 50 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 94% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-031
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 51 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 95% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-032
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 52 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 96% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-033
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 53 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 97% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-034
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 54 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 98% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-035
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 55 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory
evaluation protocols, producer accreditation, annual audits, and a formal GI governing council.
Consensus Level: 99% agreement.
Decision: Approved for inclusion in GI preparation roadmap.
Traceability Support: Yes.
GI Registration Support: Yes.
Consultation ID: SC-036
Date: 2025 Consultation Cycle
Stakeholder Group: Coffee Farmers, LGU Representatives, Traders, Roasters, Cooperatives,
Academic Experts, and Industry Organizations.
Participants: 56 attendees.
Primary Agenda: Delimitation of production area, producer registration, traceability, quality
standards, governance formation, Manual of Specifications (MoP), sustainability practices, market
protection, and GI compliance.
Discussion Summary: Participants discussed preserving the reputation of authentic Kapeng
Barako from Lipa City and neighboring production zones. Concerns included misuse of the Barako
name, inconsistent quality standards, insufficient farm documentation, counterfeit products, weak
supply-chain transparency, and the need for stronger producer representation. Stakeholders
recommended standardized farm records, harvest monitoring, QR-based traceability, sensory

